site_ids,longitude,latitude,AC_capacity_MW,BA,state,type,proposed,exactCoord,id,module_type,array_type,cap_MW_DC,dc_ac_ratio,tilt,system_capacity,losses,Zone
Knickerbocker Solar,-73.513845,42.710421,27,NYISO,NY,solar,planned,FALSE,,0,0,,1.35,42.710421,27000,6.222250686,CAPITL
Lacona Solar,-76.068536,43.643401,20,NYISO,NY,solar,planned,TRUE,,0,0,,1,43.643401,20000,6.210531943,CENTRL
Leavenworth_Greenworks_LLC,-72.890291,40.942311,14.25,NYISO,NY,solar,existing,TRUE,59276,0,0,14.25,1.5,40.942311,14250,7.07286728,LONGIL
Letchworth Solar Project,-78.17952,42.618969,1.2,NYISO,NY,solar,existing,TRUE,61389,0,0,1.2,1,42.618969,1200,6.732458688,GENESE
Lichtenthal,-78.15818,43.020053,2.8,NYISO,NY,solar,existing,TRUE,61469,0,0,2.8,1.4,43.020053,2800,6.957244688,WEST
Limestone Solar,-73.982996,42.849339,22.8,NYISO,NY,solar,planned,TRUE,,0,0,,1.14,42.849339,22800,6.394037784,CAPITL
Lincoln Ave Solar Project,-73.08344,40.78144,3,NYISO,NY,solar,existing,TRUE,61899,0,0,3,1.5,40.78144,3000,7.146410287,LONGIL
Little Pond Solar,-73.983004,41.148946,28,NYISO,NY,solar,planned,TRUE,,0,0,,1.4,41.148946,28000,6.40326048,HUD VL
Long_Island_Solar_Farm_LLC,-72.850242,40.86572,37.69,NYISO,NY,solar,existing,TRUE,57589,0,0,37.69,1.196507937,40.86572,37690,6.51144861,LONGIL
Macedon,-77.34604,43.058633,2.9,NYISO,NY,solar,existing,TRUE,63407,2,2,2.9,1.45,0,2900,7.149062872,GENESE
Madison County,-75.70098,43.028289,2.4,NYISO,NY,solar,existing,TRUE,61725,0,0,2.4,1.333333333,43.028289,2400,6.387132578,MHK VL
Madison Solar,-75.663575,42.910026,26,NYISO,NY,solar,planned,FALSE,,0,2,,1.3,0,26000,5.903988398,MHK VL
Magruder Solar,-74.150426,41.679812,20,NYISO,NY,solar,planned,TRUE,,0,2,,1,0,20000,6.907512115,HUD VL
Malone Solar Site,-74.30725,44.870858,1.4,NYISO,NY,solar,existing,TRUE,62785,0,0,1.4,1.272727273,44.870858,1400,7.057413787,MHK VL
Manchester Solar,-77.303277,42.856695,28,NYISO,NY,solar,planned,FALSE,,0,0,,1.4,42.856695,28000,5.412570472,GENESE
Marshville Solar,-74.435358,42.900891,28,NYISO,NY,solar,planned,FALSE,,0,2,,1.4,0,28000,6.462947259,CAPITL
Martin Rd Solar,-78.681006,42.244853,30,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,42.244853,30000,6.284362103,WEST
Mattas Farms,-74.21625,42.893714,2.8,NYISO,NY,solar,existing,TRUE,62303,0,0,2.8,1.4,42.893714,2800,6.905595455,CAPITL
Mereand CSG,-75.98679,43.96414,3,NYISO,NY,solar,existing,TRUE,63058,0,2,3,1.5,0,3000,6.709902197,MHK VL
Mill Point Solar,-74.435358,42.900891,250,NYISO,NY,solar,planned,FALSE,,0,0,,1,42.900891,250000,5.964851428,CAPITL
Millbrook_School,-73.61949,41.84581,1.7,NYISO,NY,solar,existing,TRUE,59789,0,2,1.7,1.214285714,0,1700,6.891986576,HUD VL
Millers Grove Solar,-74.874103,43.163058,28,NYISO,NY,solar,planned,TRUE,,0,0,,1.4,43.163058,28000,6.389932287,MHK VL
Milliken Solar Project,-76.574587,43.008546,282.3529412,NYISO,NY,solar,planned,FALSE,,0,0,,1.411764706,43.008546,282352.9412,6.373646209,CENTRL
Mineral Basin Solar Power,-78.473749,41.000249,562.24,NYISO,PA,solar,planned,FALSE,,0,0,,1.4,41.000249,562240,6.810329735,WEST
Minisink Community Solar 2 LLC,-74.51528,41.319351,2.8,NYISO,NY,solar,existing,TRUE,62146,0,0,2.8,1,41.319351,2800,7.087251344,HUD VL
Minisink Solar 1 LLC,-74.51408,41.321224,2.8,NYISO,NY,solar,existing,TRUE,62145,0,0,2.8,1.555555556,41.321224,2800,6.703593003,HUD VL
Mohawk Solar,-74.665087,42.963958,126.7,NYISO,NY,solar,planned,TRUE,,0,0,,1.4,42.963958,126700,6.392409238,CAPITL
Mohonasen Central School District,-73.95685,42.767228,1.5,NYISO,NY,solar,existing,TRUE,63511,0,0,1.5,1.363636364,42.767228,1500,7.31045718,CAPITL
Monroe County Sites A & B,-77.39223,43.174071,4.8,NYISO,NY,solar,existing,TRUE,61509,0,0,4.8,1.411764706,43.174071,4800,7.148387971,GENESE
"Monroe County Sites C, D, & E",-77.743641,43.317111,8.4,NYISO,NY,solar,existing,TRUE,61510,0,0,8.4,1.4,43.317111,8400,6.600078053,GENESE
Moraine Solar Energy Center,-78.026176,42.247894,127.5,NYISO,NY,solar,planned,FALSE,,0,0,,1.363636364,42.247894,127500,6.450373055,GENESE
Morris Ridge Solar Energy Center,-77.385525,42.266725,256.65,NYISO,NY,solar,planned,FALSE,,0,2,,1.45,0,256650,6.953059648,CENTRL
Morris Solar Project,-74.930206,44.447314,36,NYISO,NY,solar,planned,TRUE,,0,0,,1.8,44.447314,36000,6.094736346,MHK VL
Morrow Farms LLC,-76.053522,43.995371,27.95294118,NYISO,NY,solar,planned,FALSE,,0,0,,1.411764706,43.995371,27952.94118,6.705197404,MHK VL
Musgrave East Solar Farm,-76.66367,42.731496,2.8,NYISO,NY,solar,existing,TRUE,61003,0,0,2.8,1.4,42.731496,2800,6.606532575,CENTRL
Musgrave West Solar Farm,-76.66367,42.731496,2.8,NYISO,NY,solar,existing,TRUE,61015,0,0,2.8,1.4,42.731496,2800,7.255635163,CENTRL
New Bremen Solar,-75.440184,43.837847,150,NYISO,NY,solar,planned,TRUE,,0,0,,1.5,43.837847,150000,6.540870119,MHK VL
Newfield Community Solar LLC,-76.600504,42.385144,7.5,NYISO,NY,solar,existing,TRUE,62582,0,0,7.5,1.25,42.385144,7500,6.301875524,CENTRL
Niagara_Dolomite_Solar,-78.74762,43.31195,412.2,NYISO,NY,solar,planned,TRUE,,0,0,,1.145,43.31195,412200,6.079563773,WEST
Niagara Solar,-78.228567,42.701363,28.33333333,NYISO,NY,solar,planned,FALSE,,0,0,,1.416666667,42.701363,28333.33333,6.850297217,WEST
North Country Solar,-75.442617,43.786397,22.5,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,43.786397,22500,6.765403422,MHK VL
North County,-73.32361,40.763056,1,NYISO,NY,solar,existing,TRUE,58788,0,0,1,1,40.763056,1000,6.756948462,LONGIL
North Light Energy Center,-76.872096,42.765189,120,NYISO,NY,solar,planned,TRUE,,0,0,,1.5,42.765189,120000,6.306348017,CENTRL
North Side Solar,-74.751809,44.982158,270,NYISO,NY,solar,planned,TRUE,,0,0,,1.5,44.982158,270000,6.23134268,NORTH
NY08 Solar,-73.439428,43.312377,30,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,43.312377,30000,6.769639117,CAPITL
NY109 Solar,-74.423678,43.115609,31,NYISO,NY,solar,planned,FALSE,,0,0,,1.55,43.115609,31000,6.63047597,CAPITL
NY13 Solar,-73.435023,43.377712,27.86,NYISO,NY,solar,planned,TRUE,,0,2,,1.4,0,27860,7.028750703,CAPITL
NY16 Solar,-73.435023,43.377712,29.85,NYISO,NY,solar,planned,TRUE,,0,0,,1.5,43.377712,29850,6.707101787,CAPITL
NY37 Solar,-76.053522,43.995371,30,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,43.995371,30000,5.696951101,MHK VL
NY38 Solar,-76.053522,43.995371,129,NYISO,NY,solar,planned,FALSE,,0,0,,1.075,43.995371,129000,6.550126318,MHK VL
Oneida - South,-75.38687,43.166353,2.6,NYISO,NY,solar,existing,TRUE,60455,0,0,2.6,1.368421053,43.166353,2600,7.218919762,MHK VL
Oneida - West,-75.40487,43.169617,2.6,NYISO,NY,solar,existing,TRUE,60456,0,0,2.6,1.368421053,43.169617,2600,7.137900448,MHK VL
Onondaga County - Metro Water Board,-76.22408,43.183782,1.4,NYISO,NY,solar,existing,TRUE,60097,0,0,1.4,1.4,43.183782,1400,6.55301424,CENTRL
Onondaga County - Oak Orchard WWTP,-76.13012,43.172719,2.5,NYISO,NY,solar,existing,TRUE,60098,0,2,2.5,1.25,0,2500,7.388656374,CENTRL
Onondaga County- Jamesville,-76.06422,42.986644,2.5,NYISO,NY,solar,existing,TRUE,60232,0,2,2.5,1.25,0,2500,6.516320387,CENTRL
Onyx - Lamphear Road CSG,-75.47672,43.18413,2.8,NYISO,NY,solar,existing,TRUE,60967,0,0,2.8,1.4,43.18413,2800,6.655985353,MHK VL
Onyx - Saratoga Springs Landfill Solar CSG,-73.74486,43.096874,2.6,NYISO,NY,solar,existing,TRUE,61724,0,0,2.6,1.3,43.096874,2600,6.791645062,CAPITL
Orleans Solar,-78.229726,43.502287,240,NYISO,NY,solar,planned,FALSE,,0,0,,1.2,43.502287,240000,6.267655546,WEST
Oswego County - Fulton Solar,-76.34325,43.342437,2.5,NYISO,NY,solar,existing,TRUE,60818,0,0,2.5,1.25,43.342437,2500,7.019453316,CENTRL
Owens Corning at Bethlehem,-73.865,42.586944,2.3,NYISO,NY,solar,existing,TRUE,58550,0,0,2.3,1.15,42.586944,2300,6.662566278,CAPITL
Oxbow Hill Solar,-75.806908,42.980598,175,NYISO,NY,solar,planned,TRUE,,0,0,,1.25,42.980598,175000,6.694433474,MHK VL
Pasto Solar,-76.52376,42.210028,23.86,NYISO,NY,solar,existing,TRUE,62389,0,0,23.86,1.49125,42.210028,23860,6.947141144,CENTRL
Pattersonville,-74.435358,42.900891,28,NYISO,NY,solar,planned,FALSE,,0,0,,1.4,42.900891,28000,6.574184763,CAPITL
Pearl CSG,-78.29042,42.981335,6,NYISO,NY,solar,existing,TRUE,63060,0,2,6,1.5,0,6000,7.405287132,WEST
Pearl II,-78.29042,42.981336,3,NYISO,NY,solar,existing,TRUE,63405,0,2,3,1.5,0,3000,6.757832277,WEST
Podunk Road CSG,-76.65289,42.46806,2.7,NYISO,NY,solar,existing,TRUE,62834,0,0,2.7,1.227272727,42.46806,2700,6.65438622,CENTRL
Pool Brook Rd Community Solar Farm,-75.08338,42.542175,4,NYISO,NY,solar,existing,TRUE,62156,0,0,4,2,42.542175,4000,7.370689741,MHK VL
Port Richmond WWT Solar,-74.12611,40.638056,1.9,NYISO,NY,solar,existing,TRUE,58647,0,0,1.9,1.9,40.638056,1900,6.521971431,N.Y.C.
Puckett Solar,-75.769915,42.329241,28,NYISO,NY,solar,planned,TRUE,,0,0,,1.4,42.329241,28000,6.609980942,MHK VL
"Ransomville Solar 1, LLC",-78.94984,43.1994,5.2,NYISO,NY,solar,existing,TRUE,63012,0,0,5.2,1.04,43.1994,5200,6.178016127,WEST
"Ray Solar, LLC",-73.513845,42.710421,28.88888889,NYISO,NY,solar,planned,FALSE,,0,0,,1.444444444,42.710421,28888.88889,6.650289669,CAPITL
Regan Solar,-75.489552,42.404447,30,NYISO,NY,solar,planned,TRUE,,0,0,,1.5,42.404447,30000,6.742100007,MHK VL
Rich Road Solar Energy Center,-75.210909,44.552667,240,NYISO,NY,solar,planned,TRUE,,0,0,,1,44.552667,240000,6.920093137,MHK VL
Richardson Solar,-75.074311,44.488113,24,NYISO,NY,solar,planned,FALSE,,0,0,,1,44.488113,24000,6.588393619,MHK VL
Ridge View Solar Energy Center,-79.025487,43.176589,350,NYISO,NY,solar,planned,TRUE,,2,0,,1,43.176589,350000,5.855166596,WEST
Riley Road LLC,-74.07837,41.469132,5.6,NYISO,NY,solar,existing,TRUE,63369,0,0,5.6,1.4,41.469132,5600,6.816977457,HUD VL
Rising Solar II,-74.306252,41.40241,28,NYISO,NY,solar,planned,FALSE,,0,0,,1.4,41.40241,28000,5.973967058,HUD VL
"RIT Henrietta Solar 1, LLC",-77.66724,43.076198,2.3,NYISO,NY,solar,existing,TRUE,62810,0,0,2.3,1.4375,43.076198,2300,6.569216097,GENESE
Riverhead,-73.23222,40.826111,1.5,NYISO,NY,solar,existing,TRUE,58789,0,0,1.5,1,40.826111,1500,6.517336198,LONGIL
Riverhead Expansion,-72.692218,40.943554,36,NYISO,NY,solar,planned,FALSE,,0,2,,1,0,36000,6.494084806,LONGIL
Riverhead Solar Farm,-72.76451,40.922992,22.9,NYISO,NY,solar,existing,TRUE,62017,0,2,22.9,1.145,0,22900,7.024962168,LONGIL
Riverline Energy Center,-75.074311,44.488113,266.6666667,NYISO,NY,solar,planned,FALSE,,0,0,,1.333333333,44.488113,266666.6667,6.29892535,MHK VL
Riverside Solar,-76.053522,43.995371,150,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,43.995371,150000,6.419461533,MHK VL
Rock District Solar,-74.50002,42.731293,20,NYISO,NY,solar,planned,TRUE,,0,0,,1,42.731293,20000,6.372692875,CAPITL
Rosalen Solar Energy Center,-77.010395,43.202002,521.9375,NYISO,NY,solar,planned,TRUE,,0,0,,1.49125,43.202002,521937.5,6.698684523,GENESE
Route 14A CDG Solar North and South LLC,-77.04613,42.815086,5.2,NYISO,NY,solar,existing,TRUE,62580,0,0,5.2,1.3,42.815086,5200,7.137906874,CENTRL
Route 318,-76.827088,42.782294,29.85,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,42.782294,29850,6.281941067,CENTRL
"RT 52 Walden Solar 1, LLC",-74.2163,41.5841,5.7,NYISO,NY,solar,existing,TRUE,63000,0,0,5.7,1.14,41.5841,5700,6.684521149,HUD VL
Rutland Center Solar,-76.053522,43.995371,140.5555556,NYISO,NY,solar,planned,FALSE,,0,0,,1.277777778,43.995371,140555.5556,7.016149296,MHK VL
Sacket Lake Rd #2 Community Solar Farm,-74.43526,41.38251,2.4,NYISO,NY,solar,existing,TRUE,62159,0,0,2.4,1.411764706,41.38251,2400,6.3333427,HUD VL
Saratoga Solar LLC,-73.90395,43.07377,6.3,NYISO,NY,solar,existing,TRUE,63373,0,0,6.3,1.26,43.07377,6300,7.24724772,CAPITL
Scipio Solar,-76.571941,42.787463,27,NYISO,NY,solar,planned,TRUE,,0,0,,1.5,42.787463,27000,6.331506093,CENTRL
Sharon Springs,-74.56715,42.775105,3,NYISO,NY,solar,existing,TRUE,61903,0,0,3,1.5,42.775105,3000,6.278423268,CAPITL
Sharon Springs Interconnection,-74.617086,42.795907,25,NYISO,NY,solar,planned,TRUE,,0,0,,1.25,42.795907,25000,6.405799066,CAPITL
Shoreham Solar Commons,-72.88915,40.936551,24.9,NYISO,NY,solar,existing,TRUE,60045,0,0,24.9,1,40.936551,24900,6.894665257,LONGIL
Silver Lake Solar,-78.021769,42.700626,31.125,NYISO,NY,solar,planned,TRUE,,0,0,,1.25,42.700626,31125,5.865229343,WEST
Silverline Energy Center,-76.473712,42.453281,290,NYISO,NY,solar,planned,FALSE,,0,2,,1.45,0,290000,6.046623058,CENTRL
Skidmore College,-73.81132,43.093682,2,NYISO,NY,solar,existing,TRUE,60425,0,0,2,1,43.093682,2000,6.758999155,CAPITL
Sky High Solar,-76.244803,42.997521,25.55555556,NYISO,NY,solar,planned,TRUE,,0,0,,1.277777778,42.997521,25555.55556,6.326990082,CENTRL
Skyline Solar,-75.434282,43.242727,30,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,43.242727,30000,6.146404972,MHK VL
SL Babylon,-73.375661,40.732411,10.62,NYISO,NY,solar,existing,TRUE,61487,0,0,10.62,1.18,40.732411,10620,7.294483713,LONGIL
SL Portland Solar,-79.407595,42.304216,22.671,NYISO,NY,solar,planned,FALSE,,0,2,,1.145,0,22671,6.130316605,WEST
Solean Solar Project,-78.44821,42.086926,5.7,NYISO,NY,solar,existing,TRUE,61898,0,0,5.7,1.425,42.086926,5700,6.558292836,WEST
"Somers Solar, LLC",-73.439428,43.312377,23.93015873,NYISO,NY,solar,planned,FALSE,,1,0,,1.196507937,43.312377,23930.15873,6.654492489,CAPITL
Somerset Solar,-78.792143,43.456731,310.5,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,43.456731,310500,6.518108297,WEST
South Ripley Solar,-79.720603,42.195057,381.1764706,NYISO,NY,solar,planned,TRUE,,0,2,,1.411764706,0,381176.4706,6.724551584,WEST
St. Lawerence University - Sutton,-75.87226,43.932397,2.9,NYISO,NY,solar,existing,TRUE,61579,0,0,2.9,1.45,43.932397,2900,5.863158811,MHK VL
Steel Sun,-78.84531,42.812811,2.8,NYISO,NY,solar,existing,TRUE,59705,0,0,2.8,1.4,42.812811,2800,7.011614648,WEST
Steel Sun 2: 2303-III-2 Hamburg Tpke,-78.85337,42.809003,3,NYISO,NY,solar,existing,TRUE,62723,0,0,3,1.5,42.809003,3000,7.150269889,WEST
Steel Sun 2: 2303-III-4 Hamburg Tpke,-78.85422,42.811146,3,NYISO,NY,solar,existing,TRUE,62722,0,0,3,1.5,42.811146,3000,6.820885308,WEST
Steel Sun 2: 2303-III-9 Hamburg Tpke,-78.85538,42.81849,3,NYISO,NY,solar,existing,TRUE,62721,0,0,3,1.5,42.81849,3000,7.042036894,WEST
Sterlington Greenworks LLC,-72.44028,41.0675,1.8,NYISO,NY,solar,existing,TRUE,59275,0,0,1.8,1.8,41.0675,1800,7.113270429,LONGIL
Stone Mill Solar,-73.159489,43.620109,26,NYISO,NY,solar,planned,TRUE,,0,0,,1.3,43.620109,26000,7.149405519,CAPITL
Strauss CSG,-76.99392,42.891451,3.1,NYISO,NY,solar,existing,TRUE,63108,0,2,3.1,1.55,0,3100,6.965924123,CENTRL
Suffragette Solar Energy Center,-76.574587,43.008546,28.33333333,NYISO,NY,solar,planned,FALSE,,0,0,,1.416666667,43.008546,28333.33333,6.25886054,CENTRL
Sugar Maple Solar,-75.442617,43.786397,174.8,NYISO,NY,solar,planned,FALSE,,0,0,,1,43.786397,174800,6.578627808,MHK VL
Sugarhill Road - Solitude Solar CSG,-73.84853,42.822572,5,NYISO,NY,solar,existing,TRUE,62788,0,2,5,1,0,5000,7.521256001,CAPITL
Sullivan County - Adult Care Solar,-74.70808,41.7966,2.5,NYISO,NY,solar,existing,TRUE,60817,0,0,2.5,1.25,41.7966,2500,7.821523302,MHK VL
SunEast Flat Stone Solar LLC,-75.434282,43.242727,30.5,NYISO,NY,solar,planned,FALSE,,0,0,,1.525,43.242727,30500,5.943988354,MHK VL
SunEast Manchester Solar LLC,-77.063164,43.458758,30,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,43.458758,30000,6.376155427,GENESE
SunEast Oriskany Solar LLC,-75.434282,43.242727,25,NYISO,NY,solar,planned,FALSE,,0,0,,1.25,43.242727,25000,6.354769879,MHK VL
Sunlight Beacon,-73.98164,41.494632,2,NYISO,NY,solar,existing,TRUE,61922,0,0,2,1,41.494632,2000,6.44671689,HUD VL
Sunset Hill Solar,-74.207432,42.515897,23.93015873,NYISO,NY,solar,planned,TRUE,,0,0,,1.196507937,42.515897,23930.15873,6.168808146,HUD VL
Sutter Greenworks LLC,-72.77111,40.928056,7.2,NYISO,NY,solar,existing,TRUE,59274,0,0,7.2,1.8,40.928056,7200,6.522452879,LONGIL
Tabletop Solar,-74.425617,42.910206,112,NYISO,NY,solar,planned,TRUE,,0,0,,1.4,42.910206,112000,6.479999368,CAPITL
Tannery Road Landfill,-75.53459,43.239004,2.8,NYISO,NY,solar,existing,TRUE,60677,0,0,2.8,1.4,43.239004,2800,7.401203133,MHK VL
Tayandenega Solar,-74.435358,42.900891,25,NYISO,NY,solar,planned,FALSE,,0,0,,1.25,42.900891,25000,6.367125111,CAPITL
Teele,-75.074311,44.488113,39.6,NYISO,NY,solar,planned,FALSE,,0,0,,2,44.488113,39600,6.814343041,MHK VL
Thousand Island Solar,-76.053522,43.995371,165,NYISO,NY,solar,planned,FALSE,,0,0,,1.5,43.995371,165000,6.619546734,MHK VL
Ticonderoga Solar,-73.423454,43.848667,24.54545455,NYISO,NY,solar,planned,TRUE,,0,0,,1.227272727,43.848667,24545.45455,6.000697142,CAPITL
Time Warner Cable - Knowles,-77.37532,42.337435,2.8,NYISO,NY,solar,existing,TRUE,60904,0,2,2.8,1.4,0,2800,6.836403469,CENTRL
Time Warner Cable Enterprises - Martino,-75.43048,43.183689,2.8,NYISO,NY,solar,existing,TRUE,61577,0,0,2.8,1.4,43.183689,2800,7.324967503,MHK VL
Tompkins Cortland Community College,-76.2865,42.5025,2.6,NYISO,NY,solar,existing,TRUE,60431,0,0,2.6,1.3,42.5025,2600,6.464463206,CENTRL
Town of Williamson Landfill PV,-77.17472,43.244444,1.5,NYISO,NY,solar,existing,TRUE,59613,0,0,1.5,1.25,43.244444,1500,6.270903328,GENESE
Tracy Solar Energy Centre,-75.992765,44.060742,119,NYISO,NY,solar,planned,TRUE,,1,0,,1,44.060742,119000,6.674733196,MHK VL
Transit Solar Project,-78.192778,43.00091,25.2,NYISO,NY,solar,planned,FALSE,,0,0,,1.26,43.00091,25200,6.93431018,WEST
Troupsburg Solar,-77.385525,42.266725,22.9,NYISO,NY,solar,planned,FALSE,,0,0,,1.145,42.266725,22900,6.077635709,CENTRL
Tubolino 2,-76.053522,43.995371,19.8,NYISO,NY,solar,planned,FALSE,,2,0,,1,43.995371,19800,6.563351581,MHK VL
Turner Rd Community Solar Project,-76.67848,42.09305,2.7,NYISO,NY,solar,existing,TRUE,62160,0,0,2.7,1.35,42.09305,2700,6.074072928,CENTRL
Ulster County Solar,-73.98123,41.961896,1.9,NYISO,NY,solar,existing,TRUE,62777,0,0,1.9,1.357142857,41.961896,1900,6.917906086,HUD VL
Valley Solar,-76.363728,42.125632,27.36842105,NYISO,NY,solar,planned,TRUE,,0,0,,1.368421053,42.125632,27368.42105,5.950581527,CENTRL
Verona Solar Energy Center I,-75.434282,43.242727,312.5,NYISO,NY,solar,planned,FALSE,,0,0,,1.25,43.242727,312500,6.797845928,MHK VL
Verona Solar Energy Center II,-75.434282,43.242727,326.9230769,NYISO,NY,solar,planned,FALSE,,0,0,,1.307692308,43.242727,326923.0769,6.621423977,MHK VL
Villa Roma Rd #3 CSG,-74.96152,41.754421,2.3,NYISO,NY,solar,existing,TRUE,62527,0,0,2.3,1.15,41.754421,2300,6.494256732,MHK VL
Villa Roma Rd #4 CSG,-74.95863,41.754435,2.3,NYISO,NY,solar,existing,TRUE,62528,0,0,2.3,1.15,41.754435,2300,7.318819632,MHK VL
Vulcraft_Solar,-76.61935,42.005874,2.2,NYISO,NY,solar,existing,TRUE,60365,0,0,2.2,1.375,42.005874,2200,7.17857625,CENTRL
Warner Hill Solar Project,-74.499629,42.655037,28.855,NYISO,NY,solar,planned,TRUE,,0,2,,1.45,0,28855,6.606215552,CAPITL
Watkins Glen Solar,-76.873292,42.380629,72.5,NYISO,NY,solar,planned,TRUE,,0,0,,1.45,42.380629,72500,5.923398891,CENTRL
Watkins Rd Solar,-75.062868,43.059421,30,NYISO,NY,solar,planned,TRUE,,0,2,,1.5,0,30000,5.921274361,MHK VL
Westmorland Solar,-75.434282,43.242727,28,NYISO,NY,solar,planned,FALSE,,0,2,,1.4,0,28000,6.511418382,MHK VL
White Creek Solar,-77.79598,42.945566,190.5882353,NYISO,NY,solar,planned,TRUE,,0,2,,1.411764706,0,190588.2353,6.551874431,WEST
White Spring Solar,-77.286491,42.850983,333.3333333,NYISO,NY,solar,planned,TRUE,,0,2,,1.666666667,0,333333.3333,6.445601316,GENESE
Whittier,-77.8614,43.150002,2.6,NYISO,NY,solar,existing,TRUE,63408,2,2,2.6,1.3,0,2600,6.844249278,GENESE
Williamson,-77.15221,43.234141,2.8,NYISO,NY,solar,existing,TRUE,63409,2,2,2.8,1.4,0,2800,6.690628703,GENESE
Woodoak Drive Community Solar Farm CSG,-75.027,41.594,2.7,NYISO,NY,solar,existing,TRUE,62479,0,0,2.7,1.35,41.594,2700,6.608865146,MHK VL
Yellow Barn Solar,-76.549444,42.457463,232,NYISO,NY,solar,planned,TRUE,,0,0,,1.45,42.457463,232000,6.318758172,CENTRL