Number of Bus,ID,Name of Bus,Area Name of Gen,Zone Name of Gen,Latitude of Bus,Longitude of Bus,Status,Set Volt,Nom kV of Bus,Min MW,Gen MW,Max MW,Min Mvar,Gen Mvar,Max Mvar,Fuel Type,Unit Type,IOB,IOC,Part. Factor
30,1,UNKNOWN124195,NewYork,UNKNOWN124589,42.3048485210001,-77.555069476,1,MORTIMER,115,0,4.1,4.1,-2.3,1.48140284,2.7,wind,WT (Wind Turbine),0,0,0
30,2,UNKNOWN124195,NewYork,UNKNOWN124589,42.3048485210001,-77.555069476,1,MORTIMER,115,0,55.4,55.4,-30.500001,19.7926575,36,wind,WT (Wind Turbine),0,0,0
38,3,BLISS WINDPARK,NewYork,UNKNOWN124589,42.5319099290001,-78.306387526,1,MORTIMER,115,0,100.5,100.5,-55.299997,-9.78426192,70.4,wind,WT (Wind Turbine),0,0,0
39,4,UNKNOWN124224,NewYork,UNKNOWN124589,42.669848545,-78.2280139119999,1,MORTIMER,230,0,126,126,-69.300002,-8.54791208,88.2,wind,WT (Wind Turbine),0,0,0
52,5,UNKNOWN124252,NewYork,UNKNOWN124589,42.189664082,-77.544241991,1,MORTIMER,115,0,16.2,16.2,-8.9,1.50266551,11.3,wind,WT (Wind Turbine),0,0,0
53,6,UNKNOWN124253,NewYork,UNKNOWN124589,42.576348991,-77.4575041969999,1,MORTIMER,115,0,37.5,37.5,-20.6,6.61104527,26.3,wind,WT (Wind Turbine),0,0,0
82,7,UNKNOWN124526,NewYork,UNKNOWN124589,42.895960632,-75.44949523,1,MORTIMER,115,0,34.5,34.5,-19,2.44760082,24.2,wind,WT (Wind Turbine),0,0,0
161,8,UNKNOWN124943,NewYork,UNKNOWN124589,42.8182887250001,-78.852115151,1,MORTIMER,115,0,20,20,-11,14,14,wind,WT (Wind Turbine),0,0,0
368,9,FENNER,NewYork,UNKNOWN124589,42.9807262540001,-75.743338073,1,MORTIMER,115,0,30,30,-16.500001,21,21,wind,WT (Wind Turbine),0,0,0
395,10,UNKNOWN125628,NewYork,UNKNOWN124589,43.758533259,-75.5420742219999,1,MORTIMER,230,0,33,33,-18.2,-6.54860791,23.1,wind,WT (Wind Turbine),0,0,0
395,11,UNKNOWN125628,NewYork,UNKNOWN124589,43.758533259,-75.5420742219999,1,MORTIMER,230,0,61,61,-33.6,-12.0745468,42.7,wind,WT (Wind Turbine),0,0,0
395,12,UNKNOWN125628,NewYork,UNKNOWN124589,43.758533259,-75.5420742219999,1,MORTIMER,230,0,91,91,-50.099999,-17.9951949,63.7,wind,WT (Wind Turbine),0,0,0
395,13,UNKNOWN125628,NewYork,UNKNOWN124589,43.758533259,-75.5420742219999,1,MORTIMER,230,0,137,137,-75.400001,-27.0735246,95.9,wind,WT (Wind Turbine),0,0,0
399,14,UNKNOWN125633,NewYork,UNKNOWN124589,43.062419462,-74.89955402,1,MORTIMER,115,0,74,74,-40.700001,33.0445833,51.8,wind,WT (Wind Turbine),0,0,0
562,15,UNKNOWN129567,NewYork,UNKNOWN124589,44.891234126,-73.942503442,1,MORTIMER,230,0,115,215,-118.299997,-14.3205347,150.5,wind,WT (Wind Turbine),0,0,0
759,16,TAP135973,NewYork,UNKNOWN124589,44.8915846780001,-73.9859678779999,1,MORTIMER,230,0,81,81,-44.600001,-3.46835853,56.7,wind,WT (Wind Turbine),0,0,0
759,17,TAP135973,NewYork,UNKNOWN124589,44.8915846780001,-73.9859678779999,1,MORTIMER,230,0,100.5,100.5,-55.299997,-4.26103072,70.4,wind,WT (Wind Turbine),0,0,0
759,18,TAP135973,NewYork,UNKNOWN124589,44.8915846780001,-73.9859678779999,1,MORTIMER,230,0,106.5,106.5,-58.600003,-4.51574983,74.6,wind,WT (Wind Turbine),0,0,0
761,19,TAP135975,NewYork,UNKNOWN124589,44.8311857860001,-73.63807094,1,MORTIMER,230,0,27.5,97.5,-53.600001,68.3,68.3,wind,WT (Wind Turbine),0,0,0
768,20,WILLIS,NewYork,UNKNOWN124589,44.889161943,-74.118670569,1,MORTIMER,230,0,77.7,77.7,-42.699999,5.59184624,54.4,wind,WT (Wind Turbine),0,0,0
1039,21,TAP140356,NewYork,UNKNOWN124589,42.8948334470001,-75.449152257,1,MORTIMER,115,0,11.5,11.5,-6.3,8.1,8.1,wind,WT (Wind Turbine),0,0,0
1250,22,CANANDAIGUA,NewYork,UNKNOWN124589,42.439601098,-77.530082374,1,MORTIMER,230,0,87.5,87.5,-48.100001,27.4795098,61.3,wind,WT (Wind Turbine),0,0,0
1287,23,TAP145219,NewYork,UNKNOWN124589,43.981835,-75.6277029999999,1,MORTIMER,115,0,79.9,79.9,-43.900001,-10.7259017,55.9,wind,WT (Wind Turbine),0,0,0
138,24,UNKNOWN124741,NewYork,UNKNOWN124589,42.737566154,-78.239199724,1,MORTIMER,230,0,94.4,94.4,-51.899999,-16.5,66.1,wind,WT (Wind Turbine),0,0,0
1296,25,HIGH SHELDON,NewYork,UNKNOWN124589,42.7643470450001,-78.4202463139999,1,MORTIMER,230,0,112,112,-61.6,-22.5897279,78.4,wind,WT (Wind Turbine),0,0,0
1324,26,UNKNOWN146130,NewYork,UNKNOWN124589,42.4732317520001,-79.2907195349999,1,MORTIMER,115,0,79.8,79.8,-43.900001,-2.08634733,55.9,wind,WT (Wind Turbine),0,0,0
1445,27,UNKNOWN167575,NewYork,UNKNOWN124589,42.814985054,-78.851853018,1,MORTIMER,115,0,15,15,-8.3,10.5,10.5,wind,WT (Wind Turbine),0,0,0
571,28,UNKNOWN129920,NewYork,UNKNOWN124589,40.617016338,-74.1961860229999,1,MORTIMER,345,0,1425,1425,-9900,114.420107,9900,wind,WS,0,0,0
580,29,NEWBRIDGE ROAD,NewYork,UNKNOWN124589,40.7324457130001,-73.541069948,1,MORTIMER,345,0,900,900,-9900,-1091.81345,9900,wind,WS,0,0,0
589,30,EAST GARDEN CITY,NewYork,UNKNOWN124589,40.7303363040001,-73.611032402,1,MORTIMER,345,0,900,900,-9900,2439.14016,9900,wind,WS,0,0,0
608,31,HOLBROOK,NewYork,UNKNOWN124589,40.8207352680001,-73.072717204,1,MORTIMER,138,0,800,880,-9900,-113.641208,9900,wind,WS,0,0,0
736,32,EAST HAMPTON,NewYork,UNKNOWN124589,40.962440493,-72.206084953,1,MORTIMER,69,0,130,130,-9900,-8.8421131,9900,wind,WS,0,0,0
766,33,DULEY,NewYork,UNKNOWN124589,44.831473444,-73.636574082,1,MORTIMER,230,0,325,325,-9900,40.5595962,9900,wind,W4,0,0,0
768,34,WILLIS,NewYork,UNKNOWN124589,44.889161943,-74.118670569,1,MORTIMER,230,0,200,200,-9900,-52.6411369,9900,wind,W4,0,0,0
801,35,TAP136074,NewYork,UNKNOWN124589,42.595831521,-73.495926838,1,MORTIMER,345,0,232,232,-9900,11.5419825,9900,wind,W4,0,0,0
842,36,RULAND ROAD,NewYork,UNKNOWN124589,40.7624505140001,-73.41810796,1,MORTIMER,138,0,380,384,-9900,22.0646618,9900,wind,WS,0,0,0
1132,37,FARRAGUT,NewYork,UNKNOWN124589,40.705098649,-73.984511195,1,MORTIMER,345,0,1440,1440,-9900,165.495329,9900,wind,WS,0,0,0
1164,38,BROOKHAVEN,NewYork,UNKNOWN124589,40.855344175,-72.849690432,1,MORTIMER,138,0,380,384,-9900,-19.2253318,9900,wind,WS,0,0,0
1233,39,EDIC,NewYork,UNKNOWN124589,43.157565662,-75.227119939,1,MORTIMER,345,0,500,500,-9900,1059.51309,9900,wind,W4,0,0,0
1248,40,STOLLE ROAD,NewYork,UNKNOWN124589,42.8321903140001,-78.5809986209999,1,MORTIMER,345,0,300,300,-9900,0.00891150948,9900,wind,W4,0,0,0
1249,41,SOMERSET,NewYork,UNKNOWN124589,43.352359076,-78.608689452,1,MORTIMER,345,0,130,130,-9900,62.0396676,9900,wind,W4,0,0,0
1251,42,MEYER,NewYork,UNKNOWN124589,42.5568648870001,-77.7094291029999,1,MORTIMER,230,0,416,416,-9900,-23.9223965,9900,wind,W4,0,0,0
1303,43,HILLSIDE,NewYork,UNKNOWN124589,42.1023086220001,-76.79391648,1,MORTIMER,230,0,230,230,-9900,176.161694,9900,wind,W4,0,0,0
1413,44,FIVE MILE,NewYork,UNKNOWN124589,42.1946822050001,-78.464323293,1,MORTIMER,345,0,300,300,-9900,65.46409,9900,wind,W4,0,0,0
1528,45,GOWANUS,NewYork,UNKNOWN124589,40.661951726,-74.003020302,1,MORTIMER,345,0,1455,1455,-9900,142.008317,9900,wind,WS,0,0,0
